 1,        1,   0.75
 1,       10,   2.87
 1,      100,   6.51
 1,     1000,   7.07
 1,    10000,   6.95
 1,   100000,   6.88
 1,   500000,  13.06
 1,  1000000,  12.82
 2,        1,   0.35
 2,       10,   2.66
 2,      100,   7.56
 2,     1000,  10.92
 2,    10000,  13.79
 2,   100000,  13.79
 2,   500000,  13.63
 2,  1000000,  16.05
 4,        1,   0.52
 4,       10,   2.85
 4,      100,  11.84
 4,     1000,  20.24
 4,    10000,  27.54
 4,   100000,  27.27
 4,   500000,  27.33
 4,  1000000,  27.50
 6,        1,   0.30
 6,       10,   2.92
 6,      100,  14.71
 6,     1000,  36.50
 6,    10000,  40.80
 6,   100000,  40.50
 6,   500000,  40.97
 6,  1000000,  40.80
 8,        1,   0.31
 8,       10,   2.96
 8,      100,  16.34
 8,     1000,  47.51
 8,    10000,  37.62
 8,   100000,  54.40
 8,   500000,  54.29
 8,  1000000,  54.78
12,        1,   0.21
12,       10,   2.00
12,      100,  10.64
12,     1000,  42.61
12,    10000,  57.16
12,   100000,  54.93
12,   500000,  56.74
12,  1000000,  53.90
16,        1,   0.20
16,       10,   1.63
16,      100,  10.64
16,     1000,  49.77
16,    10000,  70.97
16,   100000,  72.14
16,   500000,  72.10
16,  1000000,  71.93
20,        1,   0.17
20,       10,   1.61
20,      100,   9.88
20,     1000,  53.63
20,    10000,  84.58
20,   100000,  90.62
20,   500000,  91.11
20,  1000000,  90.19
24,        1,   0.12
24,       10,   1.26
24,      100,   9.47
24,     1000,  55.50
24,    10000,   5.43
24,   100000,  25.99
24,   500000,  89.51
24,  1000000,  98.07
32,        1,   0.02
32,       10,   0.17
32,      100,   1.66
32,     1000,  12.05
32,    10000,  45.99
32,   100000,  68.49
32,   500000,  77.47
32,  1000000,  84.16
