Months,Rabbits,Rabbits Eaten By Wumpus,Rye Grass cm, Rye Grass Eaten By Wumpus cm,Temperature C,Precipitation cm
1, 1,0,0.009439,0.000000,3.331269,40.340779
2, 0,0,0.000000,0.000000,11.878179,45.371451
3, 0,0,28.234299,28.234299,16.590375,37.763940
4, 2,0,0.000000,0.000000,20.562464,35.992018
5, 1,0,17.461705,0.000000,23.819622,36.008757
6, 3,0,20.477452,0.000000,23.607941,32.567489
7, 5,0,18.987303,0.000000,19.537231,26.570210
8, 7,0,33.102524,0.000000,23.570493,25.220796
9, 9,0,20.692652,0.000000,17.996869,25.023647
10, 8,0,33.091585,0.000000,12.281350,26.984029
11, 10,0,44.797847,0.000000,10.081452,23.373108
12, 12,0,34.681706,0.000000,9.199802,33.202414
13, 14,0,17.807062,0.000000,3.650712,41.762446
14, 13,0,0.000000,0.000000,14.115164,41.500316
15, 12,0,11.949285,0.000000,23.801617,41.527068
16, 11,0,0.000000,0.000000,26.169857,40.183567
17, 10,0,0.000000,0.000000,30.730947,35.787568
18, 9,0,0.000000,0.000000,26.062236,29.664824
19, 8,0,0.000000,0.000000,28.377287,22.118531
20, 7,0,0.000000,0.000000,23.750992,20.466636
21, 6,0,0.000000,0.000000,7.957564,18.933064
22, 5,0,0.000000,0.000000,6.885910,28.081188
23, 4,0,0.000000,0.000000,4.834061,26.873311
24, 3,0,0.000000,0.000000,-0.617398,34.900164
25, 2,0,0.000000,0.000000,9.255333,38.430726
26, 1,0,0.000000,0.000000,13.826671,39.895535
27, 0,0,42.246927,42.246927,16.029773,41.391451
28, 2,0,0.000000,0.000000,22.767245,41.433018
29, 1,0,3.849488,0.000000,30.305591,32.980455
30, 1,0,1.353141,0.000000,24.190818,30.843129
31, 0,0,3.194747,0.000000,22.394023,25.262521
32, 2,0,12.666959,0.000000,20.823712,19.868494
33, 4,0,21.699121,0.000000,12.758001,24.611768
34, 6,0,44.277060,0.000000,4.784643,23.718053
35, 8,0,29.989938,0.000000,7.969384,30.430202
36, 10,0,17.227044,17.227044,7.648816,29.106346
37, 9,0,0.000000,0.000000,9.287754,40.060157
38, 8,0,0.000000,0.000000,11.466548,40.569888
39, 7,0,8.104893,0.000000,21.460525,36.430523
40, 6,0,6.719905,0.000000,18.678563,38.363320
41, 5,0,28.067618,0.000000,26.661580,31.902953
42, 7,0,16.282306,16.282306,23.577927,30.489374
43, 6,0,0.000000,0.000000,25.669619,27.559403
44, 5,0,0.000000,0.000000,22.369486,16.629230
45, 4,0,0.000000,0.000000,8.599266,18.705873
46, 3,0,0.000000,0.000000,9.536482,22.832041
47, 2,0,4.598693,0.000000,7.206220,31.495488
48, 1,0,4.692664,0.000000,4.666602,30.940016
49, 1,0,3.207269,0.000000,9.523919,40.960029
50, 1,0,15.606120,0.000000,17.029966,41.774088
51, 3,0,57.660570,57.660570,17.871704,42.496069
52, 5,0,0.000000,0.000000,18.797985,42.275404
53, 4,0,20.995492,0.000000,29.654439,30.517716
54, 6,0,10.913423,0.000000,25.828518,31.911826
55, 5,0,0.000000,0.000000,18.917944,18.892316
56, 4,0,10.196500,10.196500,18.123470,15.735965
57, 4,0,0.000000,0.000000,17.600695,15.769701
58, 3,0,0.000000,0.000000,4.041256,24.439865
59, 2,0,0.000000,0.000000,2.165606,29.965027
60, 1,0,0.000000,0.000000,0.713090,34.303202
61, 0,0,0.000000,0.000000,2.888292,36.032210
62, 0,0,0.280456,0.280456,16.669744,39.395502
63, 0,0,0.000000,0.000000,15.138724,38.488358
64, 0,0,49.847844,0.000000,24.693705,34.138546
65, 2,0,53.232245,0.000000,28.529939,35.428075
66, 4,0,48.369611,0.000000,24.639181,24.197823
67, 6,0,41.079852,0.000000,27.826623,26.812874
68, 8,0,26.183043,0.000000,23.479292,21.741963
69, 10,0,10.804638,0.000000,12.357146,16.279525
70, 9,0,5.901197,0.000000,3.880908,27.859210
71, 8,0,0.000000,0.000000,4.197324,23.389251
72, 7,0,0.000000,0.000000,4.768598,35.618812
